Student_ID,last_name,first_name,level,Email,address,status,major_declaration_id,enrollment_id
632283792,Lindsey,Kane,Junior,Donec@a.net,P.O. Box 837 1114 Placerat  Rd.,Inactive,995577236,439671744
635255011,Richards,Vernon,Freshman,lorem.vitae@vulputateposuerevulputate.ca,6117 Dictum St.,Inactive,595832825,615792637
647117241,Sanchez,Zane,Sophomore,Proin.mi@lectuspedeet.org,P.O. Box 925  9927 In Av.,Inactive,213558166,694652793
657437125,Rich,Nadine,Sophomore,mauris.eu.elit@massaVestibulum.com,P.O. Box 667  7510 Risus. Rd.,Active,974916165,394179550
659737647,Benton,Isaiah,Freshman,nisl@adipiscingenim.edu,P.O. Box 664 3755 Metus Road,Inactive,148178783,698186731
661786624,Wood,Uta,Sophomore,egestas.urna.justo@Sed.com,P.O. Box 445 156 Eget  Rd.,Active,9887126,671399574
673940623,Henry,Madonna,Senior,mollis.Duis@Donecestmauris.org,7983 Quisque Rd.,Active,629123472,610912735
681294476,Sparks,Quamar,Freshman,lobortis.augue.scelerisque@sed.com,550-395 Nunc St.,Active,677767436,326068665
683915730,Carney,Sybil,Junior,sociis@placerategetvenenatis.ca,P.O. Box 403 3794 Elit St.,Inactive,288039563,644112559
686927336,Dean,Sybill,Senior,porttitor@Quisquefringilla.edu,P.O. Box 936  942 Porttitor Av.,Active,492075734,453108227
700449937,Nolan,Darrel,Junior,dolor.Donec.fringilla@elitdictum.net,2341 Morbi St.,Inactive,496521014,903484541
712995042,Salinas,Harlan,Junior,ultricies.adipiscing@Ut.co.uk,Ap #607-4949 Nonummy Ave,Active,851332783,972821680
718370190,Cook,Tiger,Senior,Integer.vulputate@ascelerisquesed.edu,920-5711 Pharetra. St.,Inactive,267535177,56708050
723263513,Middleton,Kalia,Senior,nulla@maurisblanditmattis.org,P.O. Box 666 309 Ornare St.,Inactive,227020054,295639538
740989694,Weeks,Hop,Junior,Nulla.eget@fermentum.ca,Ap #123-8817 Eu  Ave,Active,279599351,574198982
755744448,Frank,Ruby,Senior,malesuada.fringilla.est@egestasDuisac.edu,P.O. Box 441  183 Ut Rd.,Inactive,816336143,487170508
782855738,Shelton,Kim,Senior,sit.amet@mipedenonummy.ca,5228 Senectus Road,Inactive,555871920,299630988
830471512,Vazquez,Bethany,Sophomore,vulputate@sitamet.ca,P.O. Box 796 451 Donec St.,Active,260206859,89886808
830849675,Ramirez,Hayley,Freshman,Lorem.ipsum@dui.co.uk,943-2181 Et St.,Inactive,903854578,181332073
861602423,Pickett,Nola,Junior,nulla@tortorIntegeraliquam.edu,P.O. Box 836 8495 Semper St.,Active,582135224,354040255
873316483,Lindsay,Flynn,Junior,eleifend@nisi.edu,6347 Turpis Rd.,Inactive,530356724,251694121
876869066,Navarro,Griffith,Freshman,auctor.nunc.nulla@egetodioAliquam.co.uk,P.O. Box 372 7980 Mattis Ave,Inactive,56571953,444439525
879341337,Mcintyre,Carol,Freshman,urna@tellusnon.ca,P.O. Box 917  8841 At Ave,Active,360898829,86765369
890922610,Hinton,Edan,Senior,Aliquam@aliquam.net,P.O. Box 43 1463 Pede. Rd.,Active,571770510,976237313
900072133,Day,Oscar,Junior,erat.in@ascelerisquesed.net,P.O. Box 870  1309 Ullamcorper  Rd.,Active,17953266,68484633
902863992,Pena,Dexter,Senior,elit.Etiam@dictum.org,P.O. Box 317  420 Pharetra Rd.,Active,15364078,527538326
915540520,Boyer,Keely,Freshman,justo.sit.amet@enimmi.com,9495 Purus. Street,Active,179707575,99908535
922156567,Holloway,Quynn,Senior,quam.dignissim.pharetra@anteVivamusnon.net,5594 Odio Rd.,Active,917322703,681516407
928826148,Rollins,Destiny,Freshman,vel.mauris@auctor.net,812-8777 Molestie Rd.,Active,802429357,577735913
941523102,Steele,Alisa,Freshman,sem.mollis@sempercursusInteger.net,Ap #935-380 Ac Road,Active,923866735,582956512
947811592,Hanson,Xanthus,Freshman,neque@Crasegetnisi.com,2237 Dictum Rd.,Inactive,467893038,188995229
955130356,Williamson,Vance,Junior,quis@eueleifendnec.com,9727 Tempor Avenue,Inactive,228174355,709272991
956306930,Poole,Felix,Sophomore,Aenean.eget.metus@Craseutellus.com,660-3598 Aliquet Rd.,Active,734028798,425197506
962228649,Reese,Kelsie,Senior,habitant@Duisac.org,P.O. Box 266 1876 Malesuada Rd.,Inactive,735822041,426862918
978806206,David,Deacon,Junior,quis.lectus@eu.ca,6859 Vel Avenue,Active,398014324,388220790
980084206,Porter,Eric,Sophomore,Fusce.aliquet@orciluctuset.ca,Ap #387-4873 Lacus. St.,Inactive,585426562,313060329
985465566,Valencia,Cairo,Junior,per@orci.com,Ap #339-9312 Pede  Street,Active,485823553,171165426
985775600,Roberson,Russell,Sophomore,amet.consectetuer.adipiscing@pedemalesuadavel.ca,P.O. Box 472 3755 Eget Rd.,Inactive,717200034,339866014
986581015,Sosa,Chaim,Junior,urna.convallis@ipsumsodalespurus.org,Ap #357-4073 A Ave,Active,646140871,266261718
991216243,Boyer,Chadwick,Sophomore,diam.at@sedest.co.uk,Ap #505-3465 Vitae  Street,Active,567509583,55114813
